Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
122,531,V,OhioState,38,31,69,7,7.5,-355,3.5
122,532,H,Northwestern,34,33,67,130,129,285,71
122,533,V,TexSanAntonio,39,43,82,NL,144,-105,76
122,534,H,Marshall,23,45,68,1,pk,-115,3.5
122,535,V,LaSalle,17,30,47,NL,123.5,195,0.5
122,536,H,RhodeIsland,28,31,59,5.5,5,-230,65
122,537,V,SouthAlabama,28,25,53,NL,145,170,75.5
122,538,H,AppalachianSt,30,34,64,2.5,4,-195,2
122,539,V,UTArlington,34,27,61,NL,129,135,68
122,540,H,ULMonroe,24,33,57,4,3,-155,4.5
122,541,V,OldDominion,30,24,58,2.5,2,-135,1.5
122,542,H,MiddleTennSt,33,21,68,NL,113,115,63.5
122,543,V,LouisianaTech,28,38,66,10.5,10,-565,9
122,544,H,NorthTexas,49,24,73,NL,136,440,75
122,545,V,NCState,33,27,60,NL,138.5,175,73
122,546,H,MiamiFlorida,26,39,65,4,5,-205,4.5
122,547,V,GeorgiaTech,16,12,28,NL,115.5,NL,61
122,548,H,Virginia,28,29,57,17.5,17,NL,7
122,549,V,CharlotteU,33,32,76,NL,1,-120,73
122,550,H,UAB,29,36,81,2,138.5,100,0.5
122,551,V,SouthernMiss,30,26,56,NL,123.5,255,67.5
122,552,H,Rice,31,27,58,8,7,-315,4
122,553,V,ArkansasState,28,31,59,NL,141.5,315,0.5
122,554,H,ULLafayette,51,45,96,8.5,8,-395,78
122,555,V,GeorgiaSouthern,22,23,45,NL,125,110,65.5
122,556,H,TexasState,19,24,43,pk,2,-130,1
122,557,V,Troy,34,31,65,NL,133.5,265,71.5
122,558,H,ArkansasLR,25,48,73,6,6.5,-325,6.5
122,559,V,Maryland,35,35,70,142.5,144.5,-105,77.5
122,560,H,IndianaU,38,51,89,pk,1.5,-115,pk
122,561,V,UCLA,19,36,55,123,2,-130,3.5
122,562,H,OregonState,29,37,66,2,124,110,66
122,563,V,Arizona,39,50,89,4,3.5,-175,3.5
122,564,H,Stanford,41,41,82,132,130.5,155,72.5
122,565,V,UTEP,35,24,66,134,2,-130,70.5
122,566,H,WesternKentucky,28,31,71,1,132.5,110,1
122,567,V,WashingtonU,19,33,52,129,130,105,1
122,568,H,Colorado,24,26,50,1,1.5,-125,67
122,569,V,CalIrvine,39,41,80,3,4.5,-190,71
122,570,H,CSNorthridge,18,31,49,NL,135,165,2
122,571,V,CalRiverside,40,35,75,NL,130.5,380,NL
122,572,H,CalSantaBarb,40,43,83,10.5,9.5,-505,5.5
122,573,V,CSFullerton,22,33,55,NL,120,275,63.5
122,574,H,CalPolySLO,26,40,66,8,7.5,-345,3.5
122,575,V,Pacific,26,43,69,NL,137,335,70.5
122,576,H,PortlandU,31,41,72,8.5,8.5,-425,3.5
122,577,V,Pepperdine,28,31,59,NL,133.5,140,69.5
122,578,H,SanFrancisco,31,40,71,1,3,-160,1
122,579,V,SaintMarysCA,21,26,47,136,137,940,70
122,580,H,Gonzaga,27,41,68,14.5,15,-1340,7
122,581,V,LoyolaMarymount,33,29,62,NL,124.5,210,67.5
122,582,H,SantaClara,38,27,65,5,6,-250,2
122,583,V,ArizonaState,34,45,79,129,126.5,120,66
122,584,H,California,13,31,44,pk,2,-140,5.5
122,585,V,USC,31,36,67,147,150,410,79.5
122,586,H,Oregon,44,31,75,9.5,9.5,-535,2.5
122,587,V,UCDavis,37,39,76,NL,142.5,160,1
122,588,H,Hawaii,48,36,84,2.5,4,-185,80
122,589,V,TheCitadel,30,29,59,NL,136.5,725,73
122,590,H,ETennesseeSt,39,31,70,13,13,-1025,4.5
122,591,V,Iona,41,37,78,NL,1,-115,82.5
122,592,H,Rider,33,35,68,1,154.5,-105,1.5
122,593,V,Furman,20,29,49,NL,NL,700,NL
122,594,H,Wofford,38,36,74,12,12.5,-1000,3
122,595,V,VMI,31,33,64,NL,NL,310,NL
122,596,H,TennesseeChat,41,45,86,10,8.5,-380,2.5
122,597,V,MoreheadState,40,38,78,1.5,NL,100,NL
122,598,H,TennesseeTech,42,32,74,NL,1,-121,pk
122,599,V,Mercer,27,25,52,2.5,2,-135,pk
122,600,H,WesternCarolina,23,37,60,NL,NL,115,NL
122,601,V,EasternKentucky,33,34,67,10,11,-723,6.5
122,602,H,JacksonvilleSt,32,39,71,NL,NL,539,NL
122,603,V,TennMartin,32,35,67,NL,NL,250,NL
122,604,H,Belmont,23,49,72,6.5,7,-305,6.5
122,605,V,AustinPeay,37,28,65,NL,NL,185,NL
