Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H,,,,
311,738,N,USC,34,37,91,6.5,7,NL,3,,,,
311,739,N,California,20,38,58,134,133,725,68.5,,,,
311,740,N,Colorado,24,37,61,15.5,13,-1150,7.5,,,,
311,741,N,Wyoming,32,34,66,143,145.5,NL,75.5,,,,
311,742,N,SanDiegoState,33,36,69,14.5,15,NL,8.5,,,,
311,743,N,Nevada,51,38,89,147,146.5,155,80,,,,
311,744,N,BoiseState,45,37,82,4,4,-175,3.5,,,,
311,745,N,UNLV,24,29,53,136,136.5,NL,72,,,,
311,746,N,UtahState,24,50,74,8.5,10.5,NL,6,,,,
311,747,N,FresnoState,28,34,62,137.5,136.5,340,73,,,,
311,748,N,ColoradoState,33,39,72,8.5,8.5,-410,4,,,,
311,749,N,Rider,36,24,60,131,130.5,230,68.5,,,,
311,750,N,St.Peter's,33,42,75,5.5,6.5,-270,5,,,,
311,751,N,Niagara,28,39,67,1,1,-120,66,,,,
311,752,N,Marist,20,42,62,126.5,124,100,2,,,,
311,753,N,TexSanAntonio,25,42,67,149,149,NL,77.5,,,,
311,754,N,WesternKentucky,38,42,80,7.5,7,NL,1.5,,,,
311,755,N,Rice,32,28,60,141.5,141,340,74.5,,,,
311,756,N,UAB,36,37,73,9,8.5,-410,4.5,,,,
311,757,N,FlaAtlantic,36,33,69,137.5,138,NL,74,,,,
311,758,N,LouisianaTech,37,38,75,7.5,7,NL,3.5,,,,
311,759,N,NorthTexas,26,35,61,4.5,4.5,-200,4,,,,
311,760,N,OldDominion,31,24,55,127.5,127.5,175,68,,,,
311,761,N,SeattleU,42,41,83,1.5,1.5,-125,80.5,,,,
311,762,N,CaliforniaBaptist,37,29,66,150.5,151.5,105,0.5,,,,
311,763,N,UTRioGrandeValley,24,37,61,132.5,133.5,575,71,,,,
311,764,N,NewMexicoState,39,38,77,10,12.5,-850,3.5,,,,
311,307301,N,AlcornState,34,21,55,145.5,145,320,77,,,,
311,307302,N,TexasSouthern,32,46,78,7,8,-380,6,,,,
311,307303,N,Southern,28,31,67,2,2,-135,1,,,,
