Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
228,850,H,Oregon,40,46,86,9.5,11.5,-750,4.5
228,851,V,Mercer,39,26,65,139.5,138.5,155,76
228,852,H,NCGreensboro,38,31,69,4,3.5,-175,3.5
228,853,V,Quinnipiac,27,38,65,139.5,141,800,75.5
228,854,H,Siena,45,35,80,14,13.5,-1400,3.5
228,855,V,Canisius,40,38,78,159,158.5,600,83.5
228,856,H,Iona,35,51,86,13.5,12,-900,9
228,857,V,Niagara,31,37,68,143,140,1700,76
228,858,H,Monmouth,38,39,77,18.5,18,-7000,8.5
228,859,V,Manhattan,22,35,57,132,132.5,225,69
228,860,H,Rider,27,33,60,5,6,-265,2
228,861,V,Belmont,38,34,72,1,155.5,100,82.5
228,862,H,TennesseeState,39,48,87,155.5,1,-120,0.5
228,863,V,Iowa,30,34,64,5,4,-180,4
228,864,H,OhioState,35,33,68,142,142,160,75
229,715,V,OklahomaState,25,25,50,148.5,146,800,76
229,716,H,IowaState,27,31,58,14,14.5,-1250,8
229,717,V,Syracuse,34,36,70,145.5,146,725,78
229,718,H,NorthCarolina,38,37,75,11.5,12.5,-1150,6.5
229,719,V,Kansas,47,39,86,1.5,3.5,-175,75.5
229,720,H,Texas,23,33,56,141.5,142.5,155,4
229,721,V,TennesseeChat,36,31,67,11,12.5,-1100,7.5
229,722,H,VMI,35,30,65,140.5,144.5,700,78
229,723,V,AlabamaState,37,49,86,143,143.5,475,78
229,724,H,TexasSouthern,51,45,96,11,10,-650,2.5
301,513,V,Virginia,33,31,64,5,4,-185,1
301,514,H,Clemson,27,30,57,123,122.5,165,67
301,515,V,MiamiOhio,26,41,67,138,141.5,450,74.5
301,516,H,Buffalo,29,30,59,10.5,10,-600,5
301,517,V,Ohio,37,39,76,157.5,154,220,82.5
301,518,H,Akron,42,49,91,6,6,-260,2.5
301,519,V,CentralMichigan,28,37,65,141.5,140,140,73
301,520,H,BallState,26,31,57,2,3,-160,3
301,521,V,BowlingGreen,27,27,54,147,143,230,74
301,522,H,KentState,33,37,70,6.5,6,-270,2
301,523,V,Toledo,33,31,64,3,3.5,-170,1
301,524,H,WesternMichigan,28,42,70,148,148,150,78
